doctor_id,doctor_name,department,experience_years,qualification,hospital_id
DOC0001,Aryan Maharaj,Gynecology,8,MBBS,HOS095
DOC0002,Udant Dewan,Oncology,16,"MBBS, MD",HOS018
DOC0003,Gagan Sami,Urology,7,"MBBS, MCh",HOS095
DOC0004,Ayushman Chander,Emergency Medicine,35,MBBS,HOS076
DOC0005,Viraj Tiwari,Nephrology,3,MBBS,HOS012
DOC0006,Rushil Saini,Orthopedics,15,"MBBS, DM",HOS078
DOC0007,Saumya Mall,General Medicine,13,"MBBS, MCh",HOS084
DOC0008,Nathaniel Sami,Urology,35,"MBBS, DNB",HOS029
DOC0009,Arunima Dugal,Gastroenterology,18,MBBS,HOS098
DOC0010,Gayathri Chaudry,Psychiatry,11,"MBBS, MCh",HOS055
DOC0011,Lajita Chatterjee,Pulmonology,18,"MBBS, MD",HOS028
DOC0012,Hemangini Lalla,Psychiatry,22,MBBS,HOS012
DOC0013,Tripti Yadav,Nephrology,7,"MBBS, MS",HOS109
DOC0014,Kritika Brar,Pulmonology,17,MBBS,HOS094
DOC0015,Janaki Handa,Gastroenterology,35,MBBS,HOS119
DOC0016,Chakradev Kari,Nephrology,6,"MBBS, DM",HOS038
DOC0017,Fariq Kaul,Radiology,24,"MBBS, DM",HOS025
DOC0018,Lajita Mall,Urology,5,MBBS,HOS085
DOC0019,Janya Gaba,Orthopedics,19,MBBS,HOS110
DOC0020,Isha Kadakia,Orthopedics,7,"MBBS, DNB",HOS036
DOC0021,Ekbal Garg,Gastroenterology,24,"MBBS, MD",HOS048
DOC0022,Nihal Shere,Pulmonology,14,"MBBS, MCh",HOS035
DOC0023,Anamika Kanda,Urology,5,"MBBS, DM",HOS082
DOC0024,Daksh Karnik,Neurology,35,"MBBS, MCh",HOS032
DOC0025,Diya Rattan,Neurology,30,"MBBS, DNB",HOS035
DOC0026,Dominic Kakar,Emergency Medicine,15,"MBBS, MCh",HOS042
DOC0027,Simon Tata,Radiology,4,"MBBS, MD",HOS106
DOC0028,Tara Dhar,General Medicine,21,"MBBS, DNB",HOS035
DOC0029,Liam Koshy,Cardiology,14,"MBBS, DM",HOS113
DOC0030,Priya Rastogi,Urology,21,"MBBS, MD",HOS084
DOC0031,Theodore Devi,Gastroenterology,26,"MBBS, MCh",HOS059
DOC0032,Gavin Batta,Neurology,17,"MBBS, MD",HOS032
DOC0033,Michael Dutta,Urology,35,"MBBS, MS",HOS096
DOC0034,Devansh Rajan,ENT,28,"MBBS, DM",HOS052
DOC0035,Upadhriti Wadhwa,Pulmonology,15,"MBBS, MD",HOS066
DOC0036,Advay Contractor,Gastroenterology,6,MBBS,HOS111
DOC0037,Harini Choudhury,Cardiology,10,"MBBS, MCh",HOS021
DOC0038,Radhika Dugar,Psychiatry,28,"MBBS, DM",HOS009
DOC0039,Aarush Lall,Nephrology,25,"MBBS, DM",HOS060
DOC0040,Yashica Cherian,Dermatology,17,"MBBS, DM",HOS111
DOC0041,Yashica Issac,General Medicine,8,"MBBS, MCh",HOS114
DOC0042,Kashvi Edwin,Dermatology,18,"MBBS, MCh",HOS044
DOC0043,Ekiya Suresh,Cardiology,19,"MBBS, DNB",HOS021
DOC0044,Isaac Patil,Gastroenterology,1,"MBBS, MCh",HOS113
DOC0045,Wriddhish Bhardwaj,Urology,17,"MBBS, DM",HOS098
DOC0046,Farhan Chada,Neurology,33,MBBS,HOS112
